"Country Name","Income Level","Region","Year","CO2 emissions (metric tons per capita)","Agriculture, forestry, and fishing, value added (% of GDP)","Energy intensity level of primary energy","Land Surface Temperature","Nitrous oxide emissions","Methane emissions","Population ages 65 and above (% of total population)","Unemployment, total (% of total labor force)","Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Government expenditure on education, total","Control of Corruption: Estimate","Government Effectiveness: Estimate","GDP growth (annual %)","Regulatory Quality: Estimate","Rule of Law: Estimate","Voice and Accountability: Estimate","Political Stability and Absence of Violence/Terrorism","School enrollment, primary and secondary, gender parity index","ESG_Score","ESG_Rank"
Nigeria,Lower Middle Income,Sub-Saharan Africa,2016,0.587437349,20.98310971,6.36,34.0620705,0.204222329,0.675105076,3.018933933,7.059999943,124.7,52.043,5.584,6.652200222,-1.021906614,-1.094462991,-1.61686895,-0.9317137,-1.026061773,-0.319362521,-1.877709866,0.930320024,-90.773357723,191
Somalia,Low Income,Sub-Saharan Africa,2016,0.046176946,10.77149544,11.61,38.8131207,0.451974334,1.280360675,2.520075252,18.88899994,130.3,55.044,6.886,1.314839959,-1.677049875,-2.177005291,8.53229304,-2.170290232,-2.312940836,-1.909665942,-2.357362509,0.992589428,-118.485654161,192
Iceland,High Income,Europe & Central Asia,2017,4.863133247,3.781594706,12.18,2.43747373,1.106581246,1.572510255,14.03318084,2.74000001,2.1,82.66097561,1.71,17.07716942,1.83393991,1.44565928,4.194948829,1.430084705,1.600388169,1.379182339,1.34830904,0.995549977,127.431284337,1
Norway,High Income,Europe & Central Asia,2017,7.148044335,1.97646282,3.68,-1.0629449,0.642414356,0.894452987,16.78360099,4.159999847,2.5,82.6097561,1.62,15.93850994,2.232707739,1.977334023,2.323290208,1.811427236,2.013377428,1.69440949,1.170478702,0.977559984,119.286948035,2
Sweden,High Income,Europe & Central Asia,2017,3.807034265,1.443538229,3.97,2.68743078,0.562753028,0.509062798,19.79361595,6.71999979,2.8,82.4097561,1.78,15.68610001,2.140787363,1.708212614,2.567924525,1.796406507,1.850313783,1.569253325,0.984416783,1.039909959,118.093954487,3
Finland,High Income,Europe & Central Asia,2017,7.810154155,2.315942042,5.34,2.18763715,0.891396013,0.88958056,21.14393617,8.640000343,2.4,81.63170732,1.49,11.86386967,2.203368664,2.0096457,3.19240963,1.817978024,2.057108641,1.55935812,1.080909133,1.05625999,112.963724883,4
Japan,High Income,East Asia & Pacific,2017,9.098304984,1.128440549,3.5,14.3744507,0.1486942,0.223592598,28.46399366,2.799999952,2.6,84.0997561,1.43,8.153193474,1.518158913,1.611937165,1.675331752,1.371847868,1.560074329,1.003701329,1.112167001,1.004529953,105.52808965899999,5
Switzerland,High Income,Europe & Central Asia,2017,4.578884688,0.63133351,1.7,12.0613888,0.288694533,0.610517928,18.17543054,4.800000191,4.2,83.55121951,1.52,15.46105003,1.984895706,2.050233603,1.362799557,1.881804347,1.921151519,1.556875706,1.256805301,0.973230004,104.44734319300001,6
Canada,High Income,North America,2017,15.54457104,1.889994632,7.17,-2.7500807,1.120255455,2.699667986,16.77768971,6.340000153,5.2,81.9,1.54,12.17074013,1.920100808,1.848514438,3.039880225,1.884537697,1.794673204,1.477725148,1.102062702,1.005460024,104.286964784,7
Greenland,High Income,Europe & Central Asia,2017,5.746767737,1.30480036,2.19,11.4686519,0.910670982,1.401565994,19.30034148,5.829999924,4.0,81.10243902,1.75,15.33633041,2.232307196,1.779105067,2.821736341,1.61937356,1.835787892,1.517765045,0.868414879,1.002879977,101.80362469000002,8
United Kingdom,High Income,Europe & Central Asia,2017,5.555651514,0.592419789,2.45,11.9368119,0.429465486,0.777185694,18.14347532,4.329999924,4.4,81.25609756,1.74,13.76128006,1.852673769,1.462094903,2.44357047,1.712493777,1.675296307,1.363253355,0.38615787,1.015390038,98.94508870000001,9
Estonia,High Income,Europe & Central Asia,2017,12.68422805,2.386205466,5.36,8.59376704,1.062712163,0.84257894,19.46937817,5.760000229,2.6,78.09268293,1.59,12.64801025,1.238063574,1.105115891,5.792044675,1.640106797,1.276253939,1.214444876,0.649775386,1.01177001,98.75056554199999,10
Germany,High Income,Europe & Central Asia,2017,8.858293847,0.85174892,2.98,14.1873459,0.423194638,0.621967875,21.31059656,3.75,3.9,80.99268293,1.57,11.02845001,1.83601439,1.645124197,2.680231114,1.781149268,1.604281545,1.432263851,0.587721467,0.957650006,96.377111998,11
New Zealand,High Income,East Asia & Pacific,2017,6.841033801,5.912917291,4.13,14.3119328,3.147332558,6.826491734,14.86170718,4.739999771,5.2,81.65853659,1.81,16.64263916,2.237046719,1.760673285,3.578278276,2.086640596,1.916123152,1.558654904,1.595223069,1.037590027,96.09923958499998,12
Netherlands,High Income,Europe & Central Asia,2017,9.092131413,1.855594964,3.31,14.7803738,0.490330679,0.9684031,18.60664938,4.840000153,4.0,81.76097561,1.62,12.42325974,1.784498334,1.84633708,2.910902513,2.04545331,1.790003061,1.495971799,0.921112537,1.007580042,95.967099225,13
Austria,High Income,Europe & Central Asia,2017,7.486161583,1.210536431,2.97,12.5621113,0.442167754,0.826364926,18.59689962,5.5,3.6,81.64390244,1.52,10.89597988,1.537821054,1.499537706,2.258572433,1.435420275,1.830876589,1.385915518,1.046832561,0.971729994,95.34721893800001,14
Slovenia,High Income,Europe & Central Asia,2017,6.833179386,1.839724171,3.88,15.0642345,0.391988339,0.866245817,18.7611514,6.559999943,2.4,81.02926829,1.62,10.84708023,0.80932951,1.166331887,4.815380632,0.576206565,1.018284082,1.006721735,0.873399794,1.014590025,93.901820336,15
Lithuania,High Income,Europe & Central Asia,2017,3.966902972,3.50751155,3.31,11.2183468,1.315229831,1.156129442,19.73218682,7.070000172,4.4,75.4804878,1.63,11.76564026,0.549186707,0.961367905,4.282596951,1.154124022,0.987522304,0.986517072,0.775797248,0.971390009,93.70771943100002,16
Latvia,High Income,Europe & Central Asia,2017,3.665855177,3.552392596,3.31,9.28094903,0.993693905,1.055477958,20.49972824,8.720000267,4.4,74.62926829,1.69,11.96763039,0.531276703,0.899941564,3.312475936,1.152490377,0.926356196,0.797454655,0.462217093,0.996100008,93.231355711,17
Malta,High Income,Middle East & North Africa,2017,3.247870147,0.648197776,1.42,26.2076792,0.106837835,0.470086472,18.75694738,4.0,6.6,82.34634146,1.26,13.36942005,0.73516196,1.000329137,10.92532923,1.280290246,1.138231635,1.171133399,1.249404788,1.000010014,93.14832342100001,18
Czechia,High Income,Europe & Central Asia,2017,9.611647341,2.057606888,4.41,14.0931535,0.498374713,1.178920465,19.02230066,2.890000105,3.2,78.97804878,1.69,9.764360428,0.599621296,1.064538956,5.168724304,1.230645299,1.115141869,0.880217075,1.000036478,1.006489992,93.135635901,19
Ireland,High Income,Europe & Central Asia,2017,7.858737173,1.177967866,1.51,11.7188123,2.023968109,3.494621037,13.65547999,6.710000038,3.4,82.15609756,1.77,13.32511997,1.566325903,1.29900372,9.005342424,1.583136082,1.408761501,1.294560075,1.00243485,0.991919994,93.00001127800002,20
Chile,High Income,Latin America & Caribbean,2017,4.740160313,4.280971614,3.55,15.7501277,0.356042822,0.599937625,11.61206445,6.960000038,7.4,80.35,1.598,21.31123924,1.034884334,0.839776456,1.357695373,1.333153367,1.006575584,1.000425935,0.417135537,0.987600029,91.67725342099999,21
Solomon Islands,Lower Middle Income,East Asia & Pacific,2017,0.543787298,33.2801394,4.4,25.9368785,0.03107356,0.621471218,3.453515507,0.707000017,21.4,69.988,4.218,30.10351944,0.102014914,-1.012466311,3.075348034,-0.809353292,-0.167485535,0.489996761,0.199040696,0.992589428,90.636648449,22
South Korea,High Income,East Asia & Pacific,2017,12.20028602,1.850756295,5.62,16.1883905,0.198201348,0.444492806,13.87334534,3.650000095,3.3,82.62682927,1.052,14.29845047,0.476266265,1.068592548,3.15963574,1.103047252,1.158005118,0.757269382,0.385621011,0.995310009,90.339757931,23
Monaco,High Income,Europe & Central Asia,2017,4.161114426,10.77149544,4.845896739,19.5352174,0.485930447,1.607468924,35.19280865,7.684058763,3.3,71.94023987,2.71318913,6.980629921,-0.07192454,-0.071405694,-3.500961422,-0.074645987,-0.074012627,0.836440563,1.63033843,0.992589428,89.910509681,24
Belgium,High Income,Europe & Central Asia,2017,8.151095679,0.66509366,4.04,15.8427792,0.401752661,0.718231789,18.57801353,7.090000153,4.1,81.49268293,1.65,12.34889984,1.440446138,1.271787643,1.619580278,1.242281437,1.348637819,1.338485479,0.428185821,1.070240021,88.930475114,25
Poland,High Income,Europe & Central Asia,2017,8.238615375,3.010348024,3.81,13.4373004,0.566164543,0.777620434,16.68799827,4.889999866,4.6,77.75365854,1.48,11.04498959,0.730618954,0.58264631,5.140017574,0.815237224,0.422392815,0.775978327,0.518378258,0.98368001,88.28624327799999,26
France,High Income,Europe & Central Asia,2017,4.749542598,1.542414774,3.47,17.6254302,0.577124069,0.916046219,19.9283842,9.409999847,4.3,82.57560976,1.89,9.648249626,1.259721994,1.340848088,2.291419994,1.154984117,1.426319361,1.152421713,0.27907759,1.001940012,87.603248296,27
Hungary,High Income,Europe & Central Asia,2017,4.744601547,3.754197639,3.87,18.3431993,0.569066137,0.731510494,18.80568082,4.159999847,4.4,75.81707317,1.54,9.935609818,0.118520312,0.522830725,4.271976016,0.647817969,0.559209228,0.536953449,0.80656302,0.999050021,86.157104862,28
Costa Rica,Upper Middle Income,Latin America & Caribbean,2017,1.654037158,4.699776332,2.09,28.0615514,0.382471051,0.917129521,9.272661137,8.140000343,8.7,79.377,1.74,30.15142059,0.462072641,0.24597849,4.157698963,0.445997119,0.450621039,1.121752858,0.608825564,1.041030049,84.52964530899999,29
Portugal,High Income,Europe & Central Asia,2017,5.177519279,2.095868576,2.8,24.8121469,0.317466482,1.123268225,21.36508455,8.869999886,3.6,81.42439024,1.38,11.05543041,0.854094982,1.325972795,3.506345285,0.90679121,1.129573941,1.19820416,1.118587017,0.974430025,84.47437241899999,30
Albania,Upper Middle Income,Europe & Central Asia,2017,1.788786074,19.02214885,2.69,20.3114606,0.414135308,1.061439218,14.40114192,13.61999989,9.4,79.047,1.491,12.39080048,-0.45825699,0.12872985,3.8022274,0.23308672,-0.395079285,0.203805894,0.378474772,1.004320025,84.36157854600002,31
Russian Federation,Upper Middle Income,Europe & Central Asia,2017,11.03519747,3.55363209,7.99,-3.2545706,0.417379661,4.440169593,14.21591061,5.210000038,6.9,72.45146341,1.621,13.46508026,-0.893895388,-0.152871698,1.825790064,-0.510121763,-0.830812931,-1.089830875,-0.640630484,0.983160019,83.997697152,32
Belarus,Upper Middle Income,Europe & Central Asia,2017,5.92135146,7.565802538,6.14,12.2813633,1.298235995,1.798289461,15.50296893,5.650000095,3.6,74.12926829,1.541,12.28168964,-0.215110376,-0.315424979,2.5321835,-0.841620028,-0.86476016,-1.355983019,-0.053483382,0.988579988,83.40387063100002,33
Romania,High Income,Europe & Central Asia,2017,3.788405676,4.438847528,2.61,17.9372762,0.45383273,0.877546104,17.5646775,4.929999828,7.9,75.3097561,1.71,10.05265045,-0.115164489,-0.058391962,8.196506503,0.445294321,0.458801478,0.598597825,0.056402251,0.997160017,82.95807698399999,34
Bulgaria,Upper Middle Income,Europe & Central Asia,2017,6.20129024,4.040907239,5.14,19.185533,0.58225422,1.003399249,21.20742309,6.159999847,7.3,74.81463415,1.56,12.73095036,-0.17138277,0.128312349,2.76217096,0.668624163,-0.105917312,0.429832309,0.332049906,0.980499983,80.96562787100001,35
Italy,High Income,Europe & Central Asia,2017,5.437857589,1.972684673,2.55,21.1258507,0.267275844,0.740872757,22.52394389,11.21000004,3.3,82.94634146,1.32,8.295180321,0.20415175,0.522762895,1.667859041,0.702070951,0.342450708,0.990611255,0.306821197,0.984040022,80.60706123300001,36
Montenegro,Upper Middle Income,Europe & Central Asia,2017,3.647330429,6.853890741,3.48,15.3106093,0.257080561,1.301470344,14.77773315,16.06999969,3.2,76.48536585,1.78,14.25794627,-0.055764098,0.20202145,4.716465276,0.336299419,-0.089833975,0.12421751,-0.057744302,1.00782001,80.47192697699998,37
Slovak Republic,High Income,Europe & Central Asia,2017,6.173666031,2.090373888,4.45,13.5638877,0.358506495,0.783198847,15.26558961,8.130000114,6.0,77.16585366,1.52,9.529709816,0.125354737,0.698181927,2.938068678,0.821869314,0.535937786,0.912063062,0.909989417,1.006090045,79.91982275299998,38
Singapore,High Income,East Asia & Pacific,2017,8.755841796,0.030764965,2.8,33.2092875,1.63570673,0.723417127,10.37578886,4.199999809,2.6,83.09512195,1.16,20.06048012,2.129484177,2.213762283,4.661435049,2.113010406,1.81628406,-0.169035301,1.615669966,0.994949996,79.45346356900002,39
Croatia,High Income,Europe & Central Asia,2017,4.221085948,2.887652277,3.31,17.9363013,0.421866147,0.914043313,20.18960676,11.21000004,4.8,77.82682927,1.42,8.623140335,0.087150946,0.568788588,3.412467822,0.311782539,0.330558956,0.479180753,0.69203192,1.032989979,78.828883397,40
Bhutan,Lower Middle Income,South Asia,2017,1.282863495,15.03361881,8.06,13.871846,0.145479361,0.661269823,5.883115346,2.453000069,30.7,70.847,1.704,20.35342407,1.572964668,0.619420409,4.651834675,-0.326052338,0.657180071,0.010953102,1.117129922,1.049270034,78.711400021,41
Andorra,High Income,Europe & Central Asia,2017,6.365372358,0.559538513,4.845896739,11.0918618,0.0,0.677167284,13.1845361,7.684058763,3.0,71.94023987,2.71318913,9.392439842,1.237865448,1.931479692,0.34607189,1.205159068,1.595151544,1.161652923,1.421868801,0.992589428,78.282840523,42
Thailand,Upper Middle Income,East Asia & Pacific,2017,3.650586334,8.406412587,4.79,30.4371579,0.319895277,1.043467976,12.03064845,0.829999983,9.9,78.394,1.41,18.36236763,-0.422543049,0.304385245,4.177681032,0.021116804,0.034209374,-1.045493007,-0.75284487,0.993813336,77.702646062,43
Luxembourg,High Income,Europe & Central Asia,2017,15.09216281,0.23457255,2.35,15.7161091,0.620455582,0.955836966,14.27637068,5.519999981,2.8,82.09512195,1.39,8.446969986,1.981357098,1.677823782,1.317187663,1.689293742,1.731298923,1.521881342,1.326013207,1.009459972,77.56278645600001,44
Moldova,Upper Middle Income,Europe & Central Asia,2017,2.9253893,11.47225795,5.02,18.8438968,0.391987628,1.266700763,12.229815,4.099999905,15.3,70.516,1.81,18.43283081,-0.803161204,-0.529130578,4.690793676,-0.034842685,-0.418779314,-0.016677648,-0.318989366,0.991569996,76.59371224099999,45
China,Upper Middle Income,East Asia & Pacific,2017,7.230985031,7.463565017,6.51,19.3752989,0.393005375,0.810390936,10.94635566,4.440000057,9.2,77.248,1.813,11.5886898,-0.266227782,0.438617289,6.947200793,-0.164307103,-0.237702101,-1.503730416,-0.231018081,1.013219953,76.48998273000001,46
Liechtenstein,High Income,Europe & Central Asia,2017,4.222861422,0.134897729,4.845896739,14.0950979,0.0,0.0,17.15164232,7.684058763,28.56492147,83.74634146,1.44,14.25794627,2.052322865,1.759410262,1.660675535,1.491852522,1.66780436,1.279131174,1.481363416,0.871800005,76.39414510199998,47
Ukraine,Lower Middle Income,Europe & Central Asia,2017,3.902198828,10.17765504,7.42,16.9368536,0.548725791,0.735203315,16.33760686,9.5,8.9,71.78097561,1.374,13.01910019,-0.810838878,-0.488905281,2.359972281,-0.266749024,-0.739619017,0.014895575,-1.870537519,0.992589428,76.029163731,48
United States,High Income,North America,2017,14.82326087,0.946868678,4.62,17.7549612,0.817262121,2.055812131,15.0662904,4.360000134,6.6,78.53902439,1.7655,13.8646698,1.376931906,1.549218297,2.241921216,1.6261338,1.638507485,1.008997202,0.291817456,0.993629992,75.587214166,49
Cyprus,High Income,Europe & Central Asia,2017,6.090078661,1.852022519,2.88,29.1885258,0.297884277,0.612317688,13.28576287,11.05000019,2.8,81.328,1.322,15.67893028,0.778250337,0.916094303,5.733476139,1.028041244,0.880007565,1.056244493,0.53786546,0.992799997,75.586688591,50
Uzbekistan,Lower Middle Income,Europe & Central Asia,2017,3.381745391,28.6584674,7.88,27.8737942,0.50141099,1.523375513,4.519432392,5.800000191,16.8,71.01,2.419,22.51573944,-1.16738224,-0.560735762,4.395274633,-1.281056523,-1.120315433,-1.797307253,-0.237850487,0.986500025,75.501439907,51
Malaysia,Upper Middle Income,East Asia & Pacific,2017,7.118506884,8.5982759,4.28,27.8124308,0.407182856,1.12553853,6.288742182,3.410000086,8.3,75.476,1.929,21.31582069,0.021052003,0.824154437,5.81272241,0.681551754,0.410093844,-0.398867846,0.116410345,1.034540057,74.35783662,52
Spain,High Income,Europe & Central Asia,2017,5.654254455,2.787029932,2.86,24.3750553,0.444055871,0.838748393,19.06741195,17.21999931,3.3,83.28292683,1.31,10.21348953,0.540556669,1.032243013,2.975760729,0.940882087,1.0505656,1.021476746,0.282884181,1.01564002,73.928753958,53
Georgia,Upper Middle Income,Europe & Central Asia,2017,2.609975618,6.240186843,4.04,15.6196329,0.587445722,1.445813864,14.17781489,13.93999958,9.9,73.57,2.144,12.9533596,0.793022335,0.520323455,4.842603225,0.957064092,0.284468681,0.264816642,-0.370796114,1.010570049,73.036566014,54
San Marino,High Income,Europe & Central Asia,2017,4.161114426,0.02047886,4.845896739,21.6154545,0.485930447,1.607468924,18.80845066,7.684058763,2.0,71.94023987,2.71318913,13.10361004,-0.07192454,-0.071405694,0.258265466,-0.074645987,-0.074012627,1.189860106,0.874548256,0.992589428,71.47473438699998,55
Uruguay,High Income,Latin America & Caribbean,2017,1.782479079,5.345332147,2.71,24.2188404,2.33475542,6.232832658,14.9128755,7.889999866,7.8,77.625,1.796,14.87796021,1.288374305,0.428820461,1.627753973,0.655359924,0.58129698,1.167404771,1.050780296,1.049900055,71.26595119899999,56
Armenia,Upper Middle Income,Europe & Central Asia,2017,1.882939997,14.99426012,3.86,15.5667854,0.427781535,0.852056688,11.24599086,17.70000076,12.7,74.906,1.562,10.40312958,-0.614445984,-0.215339452,7.500000002,0.240957707,-0.191404387,-0.560795248,-0.62077117,0.992589428,71.24860707600001,57
Serbia,Upper Middle Income,Europe & Central Asia,2017,6.74276565,6.014153757,5.61,19.1874444,0.562609299,1.635127721,19.89369555,13.47999954,5.9,75.53902439,1.49,9.25646019,-0.412284762,0.101498269,2.101163847,-0.032494158,-0.16061911,0.117242299,0.086855382,1.005480051,70.122229095,58
Sri Lanka,Lower Middle Income,South Asia,2017,1.089349031,7.430678779,1.81,30.4378643,0.110520425,0.353945167,9.696994848,4.050000191,7.8,75.403,2.053,14.49975967,-0.45962736,-0.138596416,6.460681271,-0.14577356,0.047170132,-0.06187962,-0.071165547,1.024719954,69.60128303700002,59
Israel,High Income,Middle East & North Africa,2017,7.529868203,1.431974316,2.67,33.6903591,0.301837421,1.082253601,11.31046374,4.21999979,3.8,82.55121951,3.11,15.70108032,0.822245359,1.380924225,4.276595951,1.269721746,1.016194582,0.697237492,-0.887956023,1.012770057,69.51815316,60
Tonga,Upper Middle Income,East Asia & Pacific,2017,1.707536946,16.8054005,2.84,25.163483,0.474315799,0.853768473,6.038988759,2.815000057,12.1,70.713,3.407,14.25794627,-0.13321127,-0.194146395,3.322432544,-0.395900011,0.333754569,0.603061855,0.790295601,0.992589428,69.45310757500002,61
Cuba,Upper Middle Income,Latin America & Caribbean,2017,2.314666755,3.800683524,1.45,29.8118639,0.319325218,1.005609769,14.68666654,1.700000048,5.4,77.529,1.593,13.56491375,0.261002392,-0.183646217,1.809054399,-1.330947638,-0.434026986,-1.552430272,0.647056282,0.98496002,69.08782010399999,62
"Micronesia, Fed. Sts.",Lower Middle Income,East Asia & Pacific,2017,1.629991915,27.62993541,5.52,25.4070273,0.271665308,0.452775521,4.627797574,7.684058763,27.0,71.467,2.893,19.14845085,0.741969705,0.200173408,2.682185944,-1.007608414,0.076742627,1.146138072,1.178782463,0.992589428,69.06563826,63
Kyrgyz Republic,Lower Middle Income,Europe & Central Asia,2017,1.521409491,12.5145789,5.15,9.62177768,0.292020264,0.738924191,3.962966451,6.889999866,20.1,71.2,3.0,16.27813911,-1.048686981,-0.714723706,4.739937225,-0.359377325,-0.933625519,-0.430864602,-0.375253022,0.995329976,68.814289015,64
Bosnia and Herzegovina,Upper Middle Income,Europe & Central Asia,2017,6.592971597,5.601858484,6.12,16.6888579,0.39243878,1.023247777,16.13536754,20.53000069,6.1,76.935,1.355,14.25794627,-0.529383123,-0.484354198,3.171434907,-0.043219082,-0.181318119,-0.205770269,-0.348237306,0.992589428,68.73939778800002,65
Nicaragua,Lower Middle Income,Latin America & Caribbean,2017,0.845609592,14.99641546,4.36,27.6864397,0.520019035,1.365628683,4.678080802,3.299999952,17.9,73.554,2.43,22.43330002,-0.876199365,-0.632386208,4.630795521,-0.680155218,-0.646767437,-0.717731059,-0.048894219,0.992589428,67.99535076299999,66
North Korea,Low Income,East Asia & Pacific,2017,2.127657859,10.77149544,4.845896739,12.5604164,0.093273635,0.703079434,10.70354518,2.697999954,19.0,72.978,1.857,14.25794627,-1.486262083,-1.670722127,1.660675535,-2.342525244,-1.715506077,-2.203184605,-0.502160609,0.992589428,67.25036056499998,67
Mauritius,Upper Middle Income,Sub-Saharan Africa,2017,3.297451534,2.994748985,2.25,26.9664836,0.18978138,1.502435904,10.32129604,6.75,14.9,74.51463415,1.44,20.35720062,0.187208578,0.998664975,3.937983806,1.059189916,0.693787754,0.788669944,0.971130371,1.048079967,65.07644268800001,68
Peru,Upper Middle Income,Latin America & Caribbean,2017,1.717106975,6.77975956,2.54,26.8736018,0.323994385,1.011849637,8.0038904,3.690000057,14.4,75.879,2.281,18.23591995,-0.539692044,-0.17642726,2.518835442,0.363177478,-0.506628633,0.274450123,-0.259545833,0.967649996,63.78283632500001,69
Vietnam,Lower Middle Income,East Asia & Pacific,2017,2.450734097,12.92987422,4.38,27.5624588,0.262567263,0.862462721,7.471518418,1.870000005,21.4,73.963,1.93,15.09342003,-0.599393189,0.007790323,6.940187782,-0.416093022,0.063180529,-1.411093473,0.230203792,0.992589428,63.306961951999995,70
Greece,High Income,Europe & Central Asia,2017,6.211250289,3.856388965,3.14,22.06298,0.421212014,0.898213684,21.37256045,21.48999977,4.3,81.28780488,1.35,7.169680119,-0.085719168,0.269768149,1.09214912,0.23626326,0.069513485,0.658500254,-0.073572554,0.97104001,63.230721213,71
Maldives,Upper Middle Income,South Asia,2017,3.936991238,5.351561984,2.42,25.76484716,0.021166619,0.253999427,4.188027313,5.869999886,8.3,79.943,1.845,11.35381031,-0.79102838,-0.425809234,7.209910123,-0.42292732,-0.612919569,-0.741155386,0.232041091,0.992589428,62.70509603000001,72
Nepal,Lower Middle Income,South Asia,2017,0.44281343,23.69954846,5.76,22.8753231,0.239502465,0.82211439,5.750305264,3.318000078,32.1,68.91,2.15,12.96988964,-0.746279299,-0.894338429,8.977279354,-0.722833991,-0.678639472,-0.203580767,-0.610694349,1.05177927,61.314682217999994,73
Argentina,Upper Middle Income,Latin America & Caribbean,2017,4.071308362,5.231622377,3.32,24.375667,1.113411521,2.895914414,11.33044605,8.350000381,10.3,76.833,2.168,13.26391983,-0.284516692,0.164413184,2.818502978,-0.181595474,-0.219416529,0.528664351,0.169504255,1.019629955,60.719872607,74
Australia,High Income,East Asia & Pacific,2017,15.82324174,2.703220554,4.49,34.6252429,3.230842782,5.745256669,15.41849971,5.590000153,3.8,82.5,1.741,13.60235977,1.790856242,1.530469418,2.282183642,1.928243279,1.675519824,1.375639081,0.896060824,0.937539995,60.575008095,75
Turkiye,Upper Middle Income,Europe & Central Asia,2017,5.066401211,6.038629796,2.71,21.3760573,0.400415028,0.547814552,7.359729284,10.81999969,11.4,77.141,2.14,12.9663496,-0.183094859,0.051177416,7.501997489,0.057467476,-0.300738305,-0.705824316,-1.788513899,0.964049995,60.06154189600001,76
Honduras,Lower Middle Income,Latin America & Caribbean,2017,0.961893862,12.66976811,4.05,27.1872537,0.318900009,0.770761593,3.757047223,5.53000021,18.0,72.692,2.496,19.67046928,-0.717420161,-0.504674911,4.842913911,-0.43500188,-1.049225807,-0.440146476,-0.564918101,0.992589428,59.69859124199999,77
Ecuador,Upper Middle Income,Latin America & Caribbean,2017,2.308805685,9.329258912,3.18,27.1282317,0.30065382,1.626046037,7.044414834,3.839999914,14.4,76.972,2.174,13.86999989,-0.604486287,-0.323384851,2.368386526,-1.004210353,-0.703621387,-0.172118649,-0.074853867,1.019950032,59.123597644,78
North Macedonia,Upper Middle Income,Europe & Central Asia,2017,3.755118077,7.873245042,3.51,19.5585324,0.279585173,1.181006356,13.40962988,22.37999916,9.6,75.95365854,1.43,14.25794627,-0.301943868,0.019064559,1.081772738,0.454407305,-0.289568126,-0.138934165,-0.254332393,0.983089983,58.373794599,79
Tajikistan,Lower Middle Income,Europe & Central Asia,2017,0.825721723,20.28329632,4.7,11.6240951,0.22183569,0.620691776,3.039059327,6.953999996,35.3,69.905,3.29,18.14114952,-1.328737736,-1.133444548,7.099894057,-1.08035326,-1.365241289,-1.721287012,-0.673529148,0.992589428,58.02205137400001,80
Vanuatu,Lower Middle Income,East Asia & Pacific,2017,0.585724185,21.37023259,3.33,25.0313075,0.482361089,1.722718174,3.707117238,1.745000005,26.9,69.71,3.91,12.20798016,0.0000182,-0.923308551,6.317305384,-0.319478542,0.567691624,0.694653988,0.701277971,0.992589428,57.97896853700001,81
Cambodia,Lower Middle Income,East Asia & Pacific,2017,0.801607535,23.36144048,4.59,30.6871826,0.310788747,1.173669695,4.566140632,0.140000001,29.0,70.515,2.473,15.94254494,-1.298118234,-0.654785931,6.996903699,-0.503388524,-1.059446812,-1.154671073,0.091221973,0.992589428,57.799182,82
Belize,Upper Middle Income,Latin America & Caribbean,2017,1.708064964,8.487211286,5.92,27.6564063,0.587147345,1.334425783,4.455241417,6.599999905,13.7,73.562,2.36,21.65851021,-0.276755542,-0.637444735,-1.694915254,-0.539396584,-0.960104883,0.570629537,0.035725731,0.992389977,57.627046863000004,83
Syrian Arab Republic,Low Income,Middle East & North Africa,2017,1.545563065,40.63560753,12.7,33.6866039,0.144336836,0.895520517,4.371765228,8.751999855,23.5,68.481,2.939,14.25794627,-1.568133235,-1.76858151,-0.723281777,-1.829135418,-2.090172052,-1.969473004,-2.620819092,0.992589428,57.40628819499998,84
Marshall Islands,Upper Middle Income,East Asia & Pacific,2017,3.814610108,16.02233556,10.51,25.76484716,0.0,0.635768312,3.025229674,7.684058763,33.5,71.94023987,2.71318913,24.84000015,0.055931047,-1.693563104,3.410419703,-1.071335196,0.22159344,1.189860106,0.874548256,0.992589428,56.205375460999996,85
Kazakhstan,Upper Middle Income,Europe & Central Asia,2017,11.89614517,4.51698454,6.08,15.6248707,0.741776592,2.807995926,7.31287798,4.900000095,10.5,72.95,2.75,11.41991043,-0.818275809,-0.028113032,4.1,0.16787082,-0.470122039,-1.247144818,0.028801313,1.012480021,55.804480923,86
Antigua and Barbuda,High Income,Latin America & Caribbean,2017,5.487329756,1.793598652,3.73,27.8341288,0.109746595,2.194931935,8.756132091,7.684058763,7.1,78.268,1.485,7.391799927,0.23745203,0.007696266,3.14432324,0.249312833,0.439102709,0.608594477,0.748045027,0.979359984,54.458221387,87
St. Vincent and the Grenadines,Upper Middle Income,Latin America & Caribbean,2017,2.17908274,6.740531858,2.41,24.7888262,0.094742726,0.663199086,10.01530102,19.18199921,15.6,74.305,1.932,18.97827911,0.737160444,0.361605376,1.669364654,0.275657326,0.453161716,0.944342494,0.888466477,0.991419971,54.330440484,88
Mongolia,Lower Middle Income,East Asia & Pacific,2017,6.3242281,11.13723327,6.08,15.3746119,4.279674293,5.720228513,3.929969014,6.360000134,17.6,70.237,2.891,13.4202404,-0.448331207,-0.254585743,5.63687639,-0.110841572,-0.297292203,0.293318957,0.788985789,0.992589428,52.85541958299999,89
